feature,mean_importance,std_importance,model_count,rank
Additional Enhancement (MRI)_ai_correct,9.31801042954127,12.903104583022847,3,1
Extent_ai_correct,6.838755786418915,9.355404236936339,3,2
Calcifications / Asymmetry_ai_correct,5.798675199349721,8.149258320217859,3,3
Workup Recommendation_ai_correct,5.096594760815303,6.680858373102632,3,4
Invasive Component Size (Pathology)_ai_correct,3.6714491794506707,5.045533873314196,3,5
Lymph Node_ai_correct,2.9233239889144897,3.3107585539011475,3,6
Receptor Status_ai_correct,2.1123755425214767,2.665296457326007,3,7
Accurate Clip Placement_ai_correct,1.585960288842519,1.6428512689815225,3,8
Lesion Size_ai_correct,1.3189857279260953,1.7761505494073457,3,9
Histologic Diagnosis_ai_correct,0.8009449243545532,1.132707174736102,2,10
Lesion Location_ai_correct,0.5589510798454285,0.7904761978204917,2,11
Chronology Preserved_ai_correct,0.24267402291297913,0.3431928944391743,2,12
Biopsy Method_ai_correct,0.15784606337547302,0.22322804359279702,2,13
Lesion Laterality_ai_correct,0.04468709975481033,0.06319710253637219,2,14
