element,fabrication_count,total_observations,fabrication_rate,fabrication_percentage
Lesion_Size,4,200,0.02,2.0
Workup_Recommendation,2,200,0.01,1.0
Invasive_Component_Size_(Pathology),2,200,0.01,1.0
Receptor_Status,2,200,0.01,1.0
Extent,1,200,0.005,0.5
Accurate_Clip_Placement,1,200,0.005,0.5
Chronology_Preserved,1,200,0.005,0.5
Biopsy_Method,1,200,0.005,0.5
Histologic_Diagnosis,1,200,0.005,0.5
Lesion_Laterality,0,200,0.0,0.0
Lesion_Location,0,200,0.0,0.0
Calcifications_/_Asymmetry,0,200,0.0,0.0
Additional_Enhancement_(MRI),0,200,0.0,0.0
Lymph_Node,0,200,0.0,0.0
