0,target,model_type
"Interaction Depth 0: 
    interaction                                     gain        fscore    wfscore    average_wfscore    average_gain    expected_gain    gain_rank    fscore_rank    wfscore_rank    avg_wfscore_rank    avg_gain_rank    expected_gain_rank    average_rank    average_tree_index    average_tree_depth
--  ----------------------------------------------  ----------  --------  ---------  -----------------  --------------  ---------------  -----------  -------------  --------------  ------------------  ---------------  --------------------  --------------  --------------------  --------------------
    Chronology Preserved_ai_correct                 0.0225127   62        9.875      0.159274           0.000363108     0.00441252       12           11             11              11                  13               12                    11.6667         37.9516               4.16129
    Accurate Clip Placement_ai_correct              0.467026    240       32.1       0.13375            0.00194594      0.142793         7            2              8               13                  9                7                     7.66667         34.65                 3.52083
    Lesion Location_ai_correct                      0.101957    32        8.905      0.278281           0.00318616      0.0344778        10           12             13              4                   7                10                    9.33333         37.9062               3.28125
    Calcifications / Asymmetry_ai_correct           1.24276     209       45.225     0.216388           0.00594624      0.549692         4            6              3               5                   3                4                     4.16667         38.2105               2.82297
    Histologic Diagnosis_ai_correct                 0.0703491   66        11.935     0.180833           0.0010659       0.0240595        11           10             10              7                   11               11                    10              37                    4.09091
    Biopsy Method_ai_correct                        0.0124935   28        2.485      0.08875            0.000446196     0.00069099       13           13             14              14                  12               14                    13.3333         34.3214               3.32143
    Extent_ai_correct                               2.40688     129       48.825     0.378488           0.018658        2.39334          2            8              1               3                   2                2                     3               43.5271               2.54264
    Receptor Status_ai_correct                      0.404551    251       41.925     0.167032           0.00161176      0.137089         8            1              5               8                   10               8                     6.66667         36.5339               3.43028
    Workup Recommendation_ai_correct                1.28552     224       36.11      0.161205           0.00573893      0.659496         3            3              6               10                  4                3                     4.83333         41.2857               3.45982
    Lesion Size_ai_correct                          0.364643    154       22.485     0.146006           0.00236781      0.0785998        9            7              9               12                  8                9                     9               32.0779               3.62987
    Additional Enhancement (MRI)_ai_correct         4.00558     108       42.815     0.396435           0.0370887       4.00368          1            9              4               1                   1                1                     2.83333         45.9537               2.5
    Lesion Laterality_ai_correct                    0.00505795  24        9.215      0.383958           0.000210748     0.00145704       14           14             12              2                   14               13                    11.5            47.9583               3.04167
    Invasive Component Size (Pathology)_ai_correct  0.848809    215       45.405     0.211186           0.00394795      0.409792         5            4              2               6                   5                5                     4.5             36.2372               3.07907
    Lymph Node_ai_correct                           0.829646    213       34.915     0.16392            0.00389505      0.269983         6            5              7               9                   6                6                     6.5             36.4131               3.57277",ai_accuracy,xgboost
"Interaction Depth 1: 
     interaction                                                                     gain                    fscore    wfscore              average_wfscore      average_gain            expected_gain           gain_rank    fscore_rank    wfscore_rank    avg_wfscore_rank    avg_gain_rank    expected_gain_rank    average_rank        average_tree_index    average_tree_depth
---  ------------------------------------------------------------------------------  ----------------------  --------  -------------------  -------------------  ----------------------  ----------------------  -----------  -------------  --------------  ------------------  ---------------  --------------------  ------------------  --------------------  --------------------
     Calcifications / Asymmetry_ai_correct|Receptor Status_ai_correct                0.5177810282734754      55.0      8.375000338523845    0.15227273342770628  0.009414200514063189    0.152619303274327       17.0         12.0           13.0            43.0                22.0             15.0                  20.333333333333332  33.981818181818184    3.2363636363636363
     Histologic Diagnosis_ai_correct|Lymph Node_ai_correct                           0.006882240047161758    12.0      3.2650000620646633   0.2720833385053886   0.0005735200039301466   0.0012711129952750265   49.0         39.0           31.0            23.0                50.0             48.0                  40.0                40.916666666666664    4.5
     Biopsy Method_ai_correct|Lymph Node_ai_correct                                  0.0013862746345694177   4.0       0.10000000061396028  0.02500000015349007  0.0003465686586423544   3.719679884684257e-05   57.0         61.0           75.0            79.0                55.0             63.0                  65.0                31.75                 4.25
     Histologic Diagnosis_ai_correct|Lesion Location_ai_correct                      0.0004207126912660897   7.0       3.1200002666779185   0.44571432381113124  6.010181303801281e-05   0.00018347254641507858  61.0         55.0           34.0            9.0                 64.0             58.0                  46.833333333333336  50.0                  3.857142857142857
     Lesion Location_ai_correct|Lymph Node_ai_correct                                0.00022008844825904816  1.0       0.03499999966886307  0.03499999966886307  0.00022008844825904816  7.703095616187274e-06   64.0         73.0           79.0            76.0                57.0             70.0                  69.83333333333333   39.0                  4.0
     Chronology Preserved_ai_correct|Lesion Location_ai_correct                      0.038084983825683594    1.0       0.3399999931086208   0.3399999931086208   0.038084983825683594    0.012948894238274356    35.0         74.0           71.0            18.0                8.0              34.0                  40.0                1.0                   3.0
     Calcifications / Asymmetry_ai_correct|Histologic Diagnosis_ai_correct           0.036240583587641595    14.0      1.6550000521355093   0.11821428943825066  0.002588613113402971    0.003277122543305782    36.0         37.0           45.0            52.0                34.0             40.0                  40.666666666666664  34.214285714285715    4.428571428571429
     Extent_ai_correct|Lesion Laterality_ai_correct                                  7.341493551393796e-05   8.0       4.185000199656333    0.5231250249570416   9.176866939242245e-06   4.0815005381063096e-05  69.0         49.0           27.0            4.0                 71.0             62.0                  47.0                65.125                1.5
     Accurate Clip Placement_ai_correct|Chronology Preserved_ai_correct              0.001025363802909851    2.0       0.7300000472729701   0.36500002363648504  0.0005126819014549255   0.0003742578122980918   58.0         69.0           63.0            14.0                51.0             55.0                  51.666666666666664  25.0                  5.0
     Invasive Component Size (Pathology)_ai_correct|Receptor Status_ai_correct       0.15387859049201325     88.0      10.260000081935797   0.11659091002199769  0.0017486203465001506   0.02241171876734865     28.0         3.0            8.0             54.0                41.0             27.0                  26.833333333333332  35.73863636363637     3.5568181818181817
---  ---                                                                             ---                     ---       ---                  ---                  ---                     ---                     ---          ---            ---             ---                 ---              ---                   ---                 ---                   ---
     Accurate Clip Placement_ai_correct|Lymph Node_ai_correct                        0.1033564008923804      46.0      3.470000083577451    0.07543478442559676  0.0022468782802691394   0.015217073192593852    32.0         16.0           30.0            67.0                37.0             31.0                  35.5                36.23913043478261     4.173913043478261
     Additional Enhancement (MRI)_ai_correct|Lesion Size_ai_correct                  0.0002399646864432725   10.0      1.4000000003341126   0.14000000003341126  2.3996468644327252e-05  2.145939682764139e-05   63.0         44.0           49.0            46.0                68.0             66.0                  56.0                47.0                  4.1
     Histologic Diagnosis_ai_correct|Lesion Size_ai_correct                          0.0712438581394963      3.0       1.3400000276459014   0.4466666758819671   0.023747952713165432    0.02565201468026341     34.0         68.0           50.0            8.0                 13.0             26.0                  33.166666666666664  35.666666666666664    3.0
     Chronology Preserved_ai_correct|Invasive Component Size (Pathology)_ai_correct  0.0239349063967893      18.0      3.135000128910859    0.17416667382838105  0.00132971702204385     0.00488099600978731     40.0         31.0           33.0            37.0                43.0             37.0                  36.833333333333336  42.77777777777778     4.222222222222222
     Additional Enhancement (MRI)_ai_correct|Lymph Node_ai_correct                   0.5083947247371725      7.0       2.904999971690119    0.4149999959557313   0.07262781781959607     0.27941566915174076     18.0         57.0           35.0            10.0                4.0              10.0                  22.333333333333332  51.142857142857146    4.142857142857143
     Biopsy Method_ai_correct|Extent_ai_correct                                      4.794681444764137e-05   1.0       0.03499999908585513  0.03499999908585513  4.794681444764137e-05   1.6781384618371137e-06  71.0         81.0           80.0            77.0                65.0             76.0                  75.0                23.0                  4.0
     Extent_ai_correct|Lymph Node_ai_correct                                         0.030872138338395416    18.0      2.455000145227735    0.13638889695709638  0.0017151187965775232   0.004592862665067712    38.0         32.0           37.0            48.0                42.0             39.0                  39.333333333333336  39.111111111111114    3.888888888888889
     Chronology Preserved_ai_correct|Workup Recommendation_ai_correct                0.021551137795768227    9.0       0.9950000509196669   0.11055556121329632  0.0023945708661964695   0.0029445717615293678   42.0         47.0           57.0            58.0                36.0             43.0                  47.166666666666664  36.333333333333336    4.111111111111111
     Biopsy Method_ai_correct|Invasive Component Size (Pathology)_ai_correct         0.00031388730712933466  9.0       1.2750000622789313   0.14166667358654791  3.487636745881496e-05   3.133493043690168e-05   62.0         48.0           51.0            45.0                66.0             64.0                  56.0                47.333333333333336    2.888888888888889
     Accurate Clip Placement_ai_correct|Calcifications / Asymmetry_ai_correct        1.0869520546557396      54.0      6.485000221578901    0.12009259669590558  0.020128741752884066    0.12527965145047276     7.0          14.0           16.0            51.0                17.0             19.0                  20.666666666666668  24.59259259259259     3.1481481481481484
[81 rows x 17 columns]
",ai_accuracy,xgboost
"Interaction Depth 2: 
     interaction                                                                                                             gain                    fscore    wfscore              average_wfscore      average_gain            expected_gain           gain_rank    fscore_rank    wfscore_rank    avg_wfscore_rank    avg_gain_rank    expected_gain_rank    average_rank        average_tree_index    average_tree_depth
---  ----------------------------------------------------------------------------------------------------------------------  ----------------------  --------  -------------------  -------------------  ----------------------  ----------------------  -----------  -------------  --------------  ------------------  ---------------  --------------------  ------------------  --------------------  --------------------
     Additional Enhancement (MRI)_ai_correct|Histologic Diagnosis_ai_correct|Workup Recommendation_ai_correct                0.5934267044067383      1.0       0.37499998112519606  0.37499998112519606  0.5934267044067383      0.22253500295171416     25.0         148.0          127.0           31.0                2.0              14.0                  57.833333333333336  5.0                   2.0
     Accurate Clip Placement_ai_correct|Lesion Size_ai_correct|Workup Recommendation_ai_correct                              0.04660345567390323     4.0       1.220000025476251    0.30500000636906277  0.011650863918475807    0.01772243065185589     66.0         95.0           67.0            39.0                51.0             48.0                  61.0                21.0                  3.5
     Lymph Node_ai_correct|Receptor Status_ai_correct|Workup Recommendation_ai_correct                                       0.46350425113837446     42.0      2.9000001196028764   0.06904762189530658  0.011035815503294629    0.12897043263637764     33.0         3.0            21.0            133.0               53.0             20.0                  43.833333333333336  34.166666666666664    4.309523809523809
     Lesion Size_ai_correct|Lymph Node_ai_correct|Receptor Status_ai_correct                                                 0.2294978634963627      7.0       0.27500001323700635  0.03928571617671519  0.032785409070908954    0.011798530677212302    42.0         66.0           141.0           165.0               32.0             56.0                  83.66666666666667   12.857142857142858    3.857142857142857
     Extent_ai_correct|Lesion Size_ai_correct|Workup Recommendation_ai_correct                                               0.00021090881659802108  4.0       0.1750000016065159   0.04375000040162898  5.272720414950527e-05   8.671879609146909e-06   133.0        96.0           151.0           162.0               136.0            151.0                 138.16666666666666  42.25                 5.0
     Extent_ai_correct|Invasive Component Size (Pathology)_ai_correct|Lesion Location_ai_correct                             0.0005035167559981346   1.0       0.5150000295318478   0.5150000295318478   0.0005035167559981346   0.0002593111442088195   123.0        149.0          106.0           7.0                 111.0            104.0                 100.0               42.0                  2.0
     Accurate Clip Placement_ai_correct|Biopsy Method_ai_correct|Invasive Component Size (Pathology)_ai_correct              0.0007911635693744756   7.0       0.45500004518475934  0.06500000645496562  0.00011302336705349652  5.1425637116274556e-05  116.0        67.0           116.0           138.0               127.0            122.0                 114.33333333333333  44.142857142857146    3.0
     Additional Enhancement (MRI)_ai_correct|Calcifications / Asymmetry_ai_correct|Lymph Node_ai_correct                     0.8348362235210516      19.0      3.82499990225375     0.20131578432914474  0.043938748606371134    0.16634519295002767     16.0         31.0           9.0             55.0                26.0             16.0                  25.5                58.89473684210526     3.4210526315789473
     Chronology Preserved_ai_correct|Histologic Diagnosis_ai_correct|Lymph Node_ai_correct                                   7.424667273880914e-06   2.0       1.639999952742871    0.8199999763714355   3.712333636940457e-06   6.08822698914812e-06    176.0        126.0          58.0            1.0                 183.0            155.0                 116.5               74.5                  4.0
     Accurate Clip Placement_ai_correct|Invasive Component Size (Pathology)_ai_correct|Lesion Location_ai_correct            9.183038491755724e-05   1.0       0.04500000276183636  0.04500000276183636  9.183038491755724e-05   4.132367574910572e-06   144.0        150.0          171.0           160.0               129.0            163.0                 152.83333333333334  35.0                  5.0
---  ---                                                                                                                     ---                     ---       ---                  ---                  ---                     ---                     ---          ---            ---             ---                 ---              ---                   ---                 ---                   ---
     Additional Enhancement (MRI)_ai_correct|Calcifications / Asymmetry_ai_correct|Lesion Location_ai_correct                2.6037111282348633      2.0       0.709999965694216    0.354999982847108    1.3018555641174316      0.9243174058622007      5.0          147.0          93.0            35.0                1.0              3.0                   47.333333333333336  0.5                   2.0
     Accurate Clip Placement_ai_correct|Chronology Preserved_ai_correct|Invasive Component Size (Pathology)_ai_correct       0.0023743293713778257   3.0       0.7900000538210681   0.26333335127368934  0.0007914431237926086   0.0008464895412769197   103.0        125.0          89.0            46.0                97.0             92.0                  92.0                28.333333333333332    5.0
     Accurate Clip Placement_ai_correct|Histologic Diagnosis_ai_correct|Lymph Node_ai_correct                                0.021212016106119336    7.0       0.4600000175935737   0.06571428822765338  0.003030288015159905    0.0038857999180110223   76.0         72.0           115.0           137.0               80.0             71.0                  91.83333333333333   30.142857142857142    4.857142857142857
     Chronology Preserved_ai_correct|Lymph Node_ai_correct|Workup Recommendation_ai_correct                                  0.2368133356794715      5.0       0.5900000076807418   0.11800000153614836  0.0473626671358943      0.027971435878769952    41.0         94.0           102.0           94.0                21.0             42.0                  65.66666666666667   11.0                  3.8
     Calcifications / Asymmetry_ai_correct|Extent_ai_correct|Receptor Status_ai_correct                                      0.6655646408398752      15.0      3.430000212375499    0.22866668082503327  0.04437097605599168     0.258095404203784       21.0         45.0           17.0            49.0                24.0             12.0                  28.0                36.53333333333333     3.066666666666667
     Chronology Preserved_ai_correct|Lymph Node_ai_correct|Receptor Status_ai_correct                                        0.018612157262396067    7.0       0.6800000270554067   0.09714286100791525  0.002658879608913724    0.0020612097870252094   79.0         73.0           95.0            104.0               84.0             82.0                  86.16666666666667   23.285714285714285    4.428571428571429
     Additional Enhancement (MRI)_ai_correct|Chronology Preserved_ai_correct|Invasive Component Size (Pathology)_ai_correct  5.194602636038326e-06   1.0       0.24500000497840438  0.24500000497840438  5.194602636038326e-06   1.2726776716902223e-06  181.0        183.0          144.0           48.0                178.0            175.0                 151.5               63.0                  4.0
     Accurate Clip Placement_ai_correct|Extent_ai_correct|Workup Recommendation_ai_correct                                   2.9383931591903547      27.0      5.780000293048801    0.21407408492773336  0.10882937626630944     1.3124465522717728      4.0          16.0           5.0             52.0                10.0             2.0                   14.833333333333334  32.96296296296296     3.0
     Chronology Preserved_ai_correct|Invasive Component Size (Pathology)_ai_correct|Receptor Status_ai_correct               0.0031552261541492044   6.0       0.41500001316411395  0.06916666886068566  0.0005258710256915341   0.00010257577884146453  97.0         87.0           121.0           132.0               109.0            111.0                 109.5               42.166666666666664    4.333333333333333
     Additional Enhancement (MRI)_ai_correct|Invasive Component Size (Pathology)_ai_correct|Receptor Status_ai_correct       0.14223509735165862     22.0      3.6649999385102854   0.16659090629592208  0.006465231697802665    0.018179714264699547    52.0         24.0           11.0            69.0                65.0             47.0                  44.666666666666664  43.54545454545455     3.0
[183 rows x 17 columns]
",ai_accuracy,xgboost
"Interaction Depth 3: 
     interaction                                                                                                                                         gain                    fscore    wfscore               average_wfscore       average_gain            expected_gain           gain_rank    fscore_rank    wfscore_rank    avg_wfscore_rank    avg_gain_rank    expected_gain_rank    average_rank        average_tree_index    average_tree_depth
---  --------------------------------------------------------------------------------------------------------------------------------------------------  ----------------------  --------  --------------------  --------------------  ----------------------  ----------------------  -----------  -------------  --------------  ------------------  ---------------  --------------------  ------------------  --------------------  --------------------
     Histologic Diagnosis_ai_correct|Lesion Location_ai_correct|Receptor Status_ai_correct|Workup Recommendation_ai_correct                              7.283611921593547e-06   1.0       0.4600000309547293    0.4600000309547293    7.283611921593547e-06   3.350461709395267e-06   235.0        175.0          105.0           15.0                230.0            216.0                 162.66666666666666  64.0                  5.0
     Accurate Clip Placement_ai_correct|Additional Enhancement (MRI)_ai_correct|Invasive Component Size (Pathology)_ai_correct|Lesion Size_ai_correct    2.5049649612774374      4.0       0.4550000258310771    0.11375000645776928   0.6262412403193593      0.02510119403840273     7.0          89.0           109.0           91.0                5.0              42.0                  57.166666666666664  17.0                  3.75
     Accurate Clip Placement_ai_correct|Calcifications / Asymmetry_ai_correct|Invasive Component Size (Pathology)_ai_correct|Receptor Status_ai_correct  0.2846655959983764      32.0      2.290000107132922     0.07156250334790382   0.008895799874949262    0.017415747161346296    41.0         2.0            15.0            149.0               80.0             49.0                  56.0                30.5625               4.1875
     Accurate Clip Placement_ai_correct|Biopsy Method_ai_correct|Extent_ai_correct|Receptor Status_ai_correct                                            0.00204986659809947     1.0       0.029999999514470473  0.029999999514470473  0.00204986659809947     6.149599694771334e-05   138.0        176.0          228.0           215.0               118.0            153.0                 171.33333333333334  23.0                  5.0
     Accurate Clip Placement_ai_correct|Extent_ai_correct|Lymph Node_ai_correct|Receptor Status_ai_correct                                               0.017818705331592355    12.0      0.7950000811691253    0.06625000676409377   0.0014848921109660296   0.0005196049252232282   99.0         37.0           61.0            159.0               128.0            119.0                 100.5               38.5                  5.0
     Calcifications / Asymmetry_ai_correct|Extent_ai_correct|Lymph Node_ai_correct|Workup Recommendation_ai_correct                                      0.1617595984221225      31.0      1.8450000758112106    0.05951613147778099   0.005218051562003952    0.007136265215935411    52.0         3.0            23.0            175.0               94.0             67.0                  69.0                48.774193548387096    3.935483870967742
     Additional Enhancement (MRI)_ai_correct|Calcifications / Asymmetry_ai_correct|Lesion Size_ai_correct|Workup Recommendation_ai_correct               0.00010359488442190923  2.0       0.17000000653535502   0.08500000326767751   5.1797442210954614e-05  8.80556551437696e-06    186.0        134.0          174.0           127.0               178.0            197.0                 166.0               48.5                  4.0
     Extent_ai_correct|Invasive Component Size (Pathology)_ai_correct|Lesion Size_ai_correct|Receptor Status_ai_correct                                  0.6058415493680513      5.0       0.42999999410993334   0.08599999882198667   0.12116830987361027     0.08169476528096721     27.0         77.0           114.0           121.0               21.0             23.0                  63.833333333333336  34.8                  3.6
     Invasive Component Size (Pathology)_ai_correct|Lesion Laterality_ai_correct|Lesion Size_ai_correct|Lymph Node_ai_correct                            0.009814489632844925    3.0       0.8550000153565636    0.28500000511885454   0.0032714965442816415   0.0027971295767941847   112.0        116.0          58.0            39.0                104.0            95.0                  87.33333333333333   28.333333333333332    5.0
     Calcifications / Asymmetry_ai_correct|Chronology Preserved_ai_correct|Lesion Size_ai_correct|Lymph Node_ai_correct                                  6.0019730881322175e-05  2.0       0.5700000018982987    0.28500000094914935   3.0009865440661088e-05  1.7105623473407362e-05  194.0        135.0          83.0            41.0                189.0            175.0                 136.16666666666666  59.0                  5.0
---  ---                                                                                                                                                 ---                     ---       ---                   ---                   ---                     ---                     ---          ---            ---             ---                 ---              ---                   ---                 ---                   ---
     Additional Enhancement (MRI)_ai_correct|Invasive Component Size (Pathology)_ai_correct|Lesion Laterality_ai_correct|Lesion Size_ai_correct          6.044196197763085e-06   1.0       0.6050000226049924    0.6050000226049924    6.044196197763085e-06   3.6567388362756757e-06  236.0        235.0          76.0            6.0                 235.0            213.0                 166.83333333333334  73.0                  4.0
     Biopsy Method_ai_correct|Lesion Location_ai_correct|Lymph Node_ai_correct|Receptor Status_ai_correct                                                0.0006786586091038771   2.0       0.05500000037371164   0.02750000018685582   0.00033932930455193855  1.844801670428253e-05   149.0        171.0          213.0           217.0               148.0            173.0                 178.5               39.5                  5.0
     Additional Enhancement (MRI)_ai_correct|Calcifications / Asymmetry_ai_correct|Extent_ai_correct|Lesion Location_ai_correct                          7.486977256121463e-05   3.0       0.17999999446253612   0.0599999981541787    2.495659085373821e-05   4.492186215476657e-06   191.0        133.0          171.0           174.0               194.0            207.0                 178.33333333333334  64.33333333333333     4.0
     Lesion Laterality_ai_correct|Lesion Location_ai_correct|Receptor Status_ai_correct|Workup Recommendation_ai_correct                                 3.716527953656623e-05   4.0       1.4450001118292177    0.36125002795730443   9.291319884141558e-06   1.3148457636330276e-05  203.0        114.0          35.0            28.0                226.0            179.0                 130.83333333333334  63.0                  4.0
     Biopsy Method_ai_correct|Invasive Component Size (Pathology)_ai_correct|Lymph Node_ai_correct|Receptor Status_ai_correct                            0.0023551617632620037   2.0       0.07000000004153493   0.03500000002076747   0.0011775808816310018   8.243066229414148e-05   137.0        172.0          207.0           210.0               132.0            148.0                 167.66666666666666  36.0                  4.0
     Chronology Preserved_ai_correct|Extent_ai_correct|Lymph Node_ai_correct|Workup Recommendation_ai_correct                                            0.5152190625667572      2.0       0.19000000719315738   0.09500000359657869   0.2576095312833786      0.048945812796867834    33.0         173.0          168.0           111.0               11.0             29.0                  87.5                11.0                  3.0
     Extent_ai_correct|Lesion Laterality_ai_correct|Lesion Location_ai_correct|Receptor Status_ai_correct                                                6.97226932970807e-05    4.0       1.9800001152807833    0.49500002882019584   1.7430673324270174e-05  3.4512735191476624e-05  192.0        115.0          20.0            8.0                 210.0            160.0                 117.5               62.5                  3.0
     Chronology Preserved_ai_correct|Extent_ai_correct|Lesion Size_ai_correct|Receptor Status_ai_correct                                                 0.0001767571666277945   1.0       0.05999999970907255   0.05999999970907255   0.0001767571666277945   1.0605429946244159e-05  178.0        236.0          212.0           173.0               162.0            187.0                 191.33333333333334  39.0                  5.0
     Accurate Clip Placement_ai_correct|Chronology Preserved_ai_correct|Lesion Size_ai_correct|Lymph Node_ai_correct                                     0.011233225464820862    1.0       0.2150000037876862    0.2150000037876862    0.011233225464820862    0.0024151435174844184   108.0        237.0          161.0           56.0                71.0             98.0                  121.83333333333333  15.0                  5.0
     Additional Enhancement (MRI)_ai_correct|Histologic Diagnosis_ai_correct|Invasive Component Size (Pathology)_ai_correct|Lesion Location_ai_correct   0.0004193850709270919   2.0       0.4900000360331317    0.24500001801656585   0.00020969253546354594  0.0001113055363678494   161.0        174.0          95.0            48.0                155.0            141.0                 129.0               42.0                  4.0
[237 rows x 17 columns]
",ai_accuracy,xgboost
"Leaf Statistics: 
     interaction                                                                                                              sum_leaf_values_left    sum_leaf_values_right    sum_leaf_covers_left    sum_leaf_covers_right
---  -----------------------------------------------------------------------------------------------------------------------  ----------------------  -----------------------  ----------------------  -----------------------
     Additional Enhancement (MRI)_ai_correct|Histologic Diagnosis_ai_correct|Workup Recommendation_ai_correct                 0.008848490193486214    0.0                      3.0                     0.0
     Extent_ai_correct|Invasive Component Size (Pathology)_ai_correct|Lesion Location_ai_correct                              0.0002789805585052818   0.0                      5.0                     0.0
     Additional Enhancement (MRI)_ai_correct|Calcifications / Asymmetry_ai_correct|Lymph Node_ai_correct                      0.005824713502079248    0.0                      8.0                     0.0
     Extent_ai_correct|Lesion Laterality_ai_correct                                                                           -0.0003901332638633903  0.0                      7.0                     0.0
     Additional Enhancement (MRI)_ai_correct|Workup Recommendation_ai_correct                                                 0.015659483149647713    0.0                      15.0                    0.0
     Calcifications / Asymmetry_ai_correct|Extent_ai_correct|Lesion Size_ai_correct                                           0.008316371822729707    0.0                      20.0                    0.0
     Additional Enhancement (MRI)_ai_correct|Chronology Preserved_ai_correct|Workup Recommendation_ai_correct                 0.0012942453613504767   0.0                      2.0                     0.0
     Accurate Clip Placement_ai_correct|Additional Enhancement (MRI)_ai_correct|Workup Recommendation_ai_correct              0.015345753985457122    0.009068739600479603     14.0                    13.0
     Calcifications / Asymmetry_ai_correct|Extent_ai_correct|Lymph Node_ai_correct                                            0.016354047926142812    0.0                      46.0                    0.0
     Additional Enhancement (MRI)_ai_correct|Invasive Component Size (Pathology)_ai_correct|Workup Recommendation_ai_correct  0.00023258029978023842  0.0009377479618706275    20.0                    35.0
---  ---                                                                                                                      ---                     ---                      ---                     ---
     Extent_ai_correct|Lymph Node_ai_correct|Workup Recommendation_ai_correct                                                 0.02989417826756835     0.020776454359292984     22.0                    19.0
     Accurate Clip Placement_ai_correct|Chronology Preserved_ai_correct|Workup Recommendation_ai_correct                      3.948807716369629e-05   -6.885017501190305e-05   1.0                     6.0
     Accurate Clip Placement_ai_correct|Additional Enhancement (MRI)_ai_correct|Calcifications / Asymmetry_ai_correct         0.048539775983954314    0.0                      26.0                    0.0
     Extent_ai_correct|Lesion Laterality_ai_correct|Lesion Size_ai_correct                                                    0.0                     9.117126319324598e-05    0.0                     224.0
     Extent_ai_correct|Histologic Diagnosis_ai_correct|Workup Recommendation_ai_correct                                       0.0010715157259255648   0.0                      3.0                     0.0
     Accurate Clip Placement_ai_correct|Extent_ai_correct|Lesion Location_ai_correct                                          0.0005496239464264363   0.0                      8.0                     0.0
     Accurate Clip Placement_ai_correct|Extent_ai_correct|Lesion Size_ai_correct                                              0.0                     0.005849593784660101     0.0                     3.0
     Additional Enhancement (MRI)_ai_correct|Calcifications / Asymmetry_ai_correct|Lesion Location_ai_correct                 0.037812504917383194    0.04554865509271622      6.0                     68.0
     Accurate Clip Placement_ai_correct|Extent_ai_correct|Workup Recommendation_ai_correct                                    6.535252032335848e-05   0.063392473894055        10.0                    175.0
     Additional Enhancement (MRI)_ai_correct|Invasive Component Size (Pathology)_ai_correct|Receptor Status_ai_correct        0.001514738796686288    0.0010856729350052774    4.0                     18.0
[24 rows x 6 columns]
",ai_accuracy,xgboost
"Chronology Preserved_ai_correct Split Value Histogram: 
    split_value    count
--  -------------  -------
    0.5            62",ai_accuracy,xgboost
"Accurate Clip Placement_ai_correct Split Value Histogram: 
    split_value    count
--  -------------  -------
    0.5            240",ai_accuracy,xgboost
"Lesion Location_ai_correct Split Value Histogram: 
    split_value    count
--  -------------  -------
    0.5            32",ai_accuracy,xgboost
"Calcifications / Asymmetry_ai_correct Split Value Histogram: 
    split_value    count
--  -------------  -------
    0.5            209",ai_accuracy,xgboost
"Histologic Diagnosis_ai_correct Split Value Histogram: 
    split_value    count
--  -------------  -------
    0.5            66",ai_accuracy,xgboost
