,Column_Name,Category
0,Histologic_Diagnosis_human_npv,Element
1,Accurate_Clip_Placement_specificity_diff,Element
2,Lymph_Node_human_specificity,Element
3,Histologic_Diagnosis_sensitivity_diff,Element
4,Radiology_human_TP,Domain
5,Lesion_Location_human_sensitivity,Element
6,Receptor_Status_human_sensitivity,Element
7,Lesion_Size_accuracy_diff,Element
8,Lymph_Node_ai_FP,Element
9,Histologic_Diagnosis_human_sensitivity,Element
10,Histologic_Diagnosis_ai_FN,Element
11,Chronology Preserved_human_status,Observation
12,Receptor_Status_accuracy_diff,Element
13,Additional_Enhancement_MRI_human_f1,Element
14,Lesion_Size_ai_specificity,Element
15,Receptor_Status_ai_FP,Element
16,Lesion_Laterality_ai_sensitivity,Element
17,Lymph_Node_accuracy_diff,Element
18,Chronology_Preserved_ai_accuracy,Element
19,Workup_Recommendation_human_accuracy,Element
20,Histologic Diagnosis_ai_correct,Observation
21,Pathology_human_specificity,Domain
22,Lesion Size_ai_status,Observation
23,Lesion_Laterality_fabrication_rate_diff,Element
24,Receptor_Status_ai_sensitivity,Element
25,Lesion_Size_human_FP,Element
26,Lymph Node_agreement,Observation
27,Calcifications / Asymmetry_ai_status,Observation
28,Chronology_Preserved_sensitivity_diff,Element
29,Chronology Preserved_ai_correct,Observation
30,Histologic_Diagnosis_ai_TN,Element
31,Receptor_Status_human_TP,Element
32,Accurate Clip Placement_human_status,Observation
33,Receptor Status_human_correct,Observation
34,Chronology_Preserved_human_accuracy,Element
35,Workup_Recommendation_ai_accuracy,Element
36,Extent_human_f1,Element
37,Extent_ai_accuracy,Element
38,Calcifications___Asymmetry_ai_FN,Element
39,Lesion_Location_human_specificity,Element
40,Extent_human_FP,Element
41,Calcifications / Asymmetry_human_correct,Observation
42,human_accuracy_per_obs,Observation
43,Accurate_Clip_Placement_human_fabrication_rate,Element
44,Extent_ai_ppv,Element
45,Additional_Enhancement_MRI_ai_f1,Element
46,Extent_human_FN,Element
47,Lesion_Size_ai_accuracy,Element
