Element,Annotator,TP,FP,FN,TN,accuracy,accuracy_ci_low,accuracy_ci_high,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,sensitivity,sensitivity_ci_low,sensitivity_ci_high,specificity,specificity_ci_low,specificity_ci_high,ppv,ppv_ci_low,ppv_ci_high,npv,npv_ci_low,npv_ci_high,fabrication_rate,fabrication_rate_ci_low,fabrication_rate_ci_high,f1,f1_ci_low,f1_ci_high,p_mcnemar_accuracy,p_mcnemar_sensitivity,p_mcnemar_specificity,p_mcnemar_ppv,p_mcnemar_npv,p_mcnemar_fabrication_rate
Lesion Size,Human,189,2,5,2,0.9646464646464646,0.9393939393939394,0.98989898989899,0.7371134020618557,0.48214965554749817,0.9923469387755102,0.9742268041237113,0.9489795918367347,0.9948453608247423,0.5,0.0,1.0,0.9895287958115183,0.9736842105263158,1.0,0.2857142857142857,0.0,0.6666666666666666,0.010471204188481676,0.0,0.02631578947368421,0.9818181818181818,0.9680851063829787,0.9948717948717948,0.7727508544921875,0.7727508544921875,,0.890625,,0.890625
Lesion Size,AI,187,4,5,2,0.9545454545454546,0.9242424242424242,0.9797979797979798,0.6536458333333334,0.48195876288659795,0.8676546391752574,0.9739583333333334,0.9489795918367347,0.9947916666666666,0.3333333333333333,0.0,0.75,0.9790575916230366,0.9581151832460733,0.9948453608247423,0.2857142857142857,0.0,0.6666666666666666,0.020942408376963352,0.005154639175257732,0.041884816753926704,0.9765013054830288,0.9602122015915119,0.9897959183673469,0.7727508544921875,0.7727508544921875,,0.890625,,0.890625
Lesion Laterality,Human,199,0,1,0,0.995,0.985,1.0,,,,0.995,0.985,1.0,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9974937343358395,0.9924433249370278,1.0,,,,,,
Lesion Laterality,AI,199,0,1,0,0.995,0.985,1.0,,,,0.995,0.985,1.0,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9974937343358395,0.9924433249370278,1.0,,,,,,
Lesion Location,Human,196,0,3,0,0.9849246231155779,0.964824120603015,1.0,,,,0.9849246231155779,0.964824120603015,1.0,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9924050632911393,0.9820971867007673,1.0,0.7734375,0.7734375,,,,
Lesion Location,AI,195,0,4,0,0.9798994974874372,0.9597989949748744,0.9949748743718593,,,,0.9798994974874372,0.9597989949748744,0.9949748743718593,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9898477157360407,0.9794871794871796,0.9974811083123425,0.7734375,0.7734375,,,,
Calcifications / Asymmetry,Human,119,0,8,14,0.9432624113475178,0.900709219858156,0.9787234042553191,0.9685039370078741,0.9457364341085271,0.988,0.937007874015748,0.8914728682170543,0.976,1.0,1.0,1.0,1.0,1.0,1.0,0.6363636363636364,0.42857142857142855,0.8333333333333334,0.0,0.0,0.0,0.9674796747967479,0.9426229508196722,0.9878542510121457,0.11328125,0.11328125,,,,
Calcifications / Asymmetry,AI,124,0,3,14,0.9787234042553191,0.950354609929078,1.0,0.9881889763779528,0.97265625,1.0,0.9763779527559056,0.9453125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8235294117647058,0.6,1.0,0.0,0.0,0.0,0.9880478087649402,0.9718875502008032,1.0,0.11328125,0.11328125,,,,
Additional Enhancement (MRI),Human,49,0,8,35,0.9130434782608695,0.8478260869565217,0.967391304347826,0.9298245614035088,0.8796216475095786,0.971711215932914,0.8596491228070176,0.7592432950191571,0.943422431865828,1.0,1.0,1.0,1.0,1.0,1.0,0.813953488372093,0.6888541666666667,0.9230769230769231,0.0,0.0,0.0,0.9245283018867925,0.8631475748194014,0.9708876560332871,0.0546875,0.0546875,,,,
Additional Enhancement (MRI),AI,55,0,2,35,0.9782608695652174,0.9456521739130435,1.0,0.9824561403508771,0.9523809523809523,1.0,0.9649122807017544,0.9047619047619048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9459459459459459,0.8571428571428571,1.0,0.0,0.0,0.0,0.9821428571428572,0.9500000000000001,1.0,0.0546875,0.0546875,,,,
Extent,Human,76,1,11,35,0.9024390243902439,0.8455284552845529,0.9512195121951219,0.9228927203065134,0.8728650898561673,0.9631601439496176,0.8735632183908046,0.7976190476190477,0.9397590361445783,0.9722222222222222,0.90625,1.0,0.987012987012987,0.9577313883299798,1.0,0.7608695652173914,0.625,0.8809523809523809,0.012987012987012988,0.0,0.04226861167002004,0.9268292682926829,0.8795180722891566,0.9642857142857143,0.0384063720703125,0.0384063720703125,,0.75,,0.75
Extent,AI,84,1,3,35,0.967479674796748,0.9344262295081968,0.9919354838709677,0.9688697318007663,0.9307421450716553,0.9945054945054945,0.9655172413793104,0.9247311827956989,1.0,0.9722222222222222,0.9047235023041474,1.0,0.9882352941176471,0.96,1.0,0.9210526315789473,0.8249632352941176,1.0,0.011764705882352941,0.0,0.04,0.9767441860465116,0.9523809523809523,0.994535519125683,0.0384063720703125,0.0384063720703125,,0.75,,0.75
Accurate Clip Placement,Human,155,0,25,2,0.8626373626373627,0.8131868131868132,0.9120879120879121,0.9305555555555556,0.9040762077064686,0.9550561797752809,0.8611111111111112,0.8089887640449438,0.9106145251396648,1.0,1.0,1.0,1.0,1.0,1.0,0.07407407407407407,0.0,0.18757440476190435,0.0,0.0,0.0,0.9253731343283582,0.8944099378881988,0.9532163742690057,0.0004389551468193531,0.0004389551468193531,,1.0,,1.0
Accurate Clip Placement,AI,174,1,5,2,0.967032967032967,0.9395604395604396,0.989010989010989,0.819366852886406,0.48333333333333334,0.994413407821229,0.9720670391061452,0.9444444444444444,0.994413407821229,0.6666666666666666,0.0,1.0,0.9942857142857143,0.9824561403508771,1.0,0.2857142857142857,0.0,0.6666666666666666,0.005714285714285714,0.0,0.017543859649122806,0.983050847457627,0.9682997118155621,0.9944444444444445,0.0004389551468193531,0.0004389551468193531,,1.0,,1.0
Workup Recommendation,Human,134,0,27,1,0.8333333333333334,0.7716049382716049,0.8888888888888888,0.9161490683229814,0.8850931677018634,0.9420748857377242,0.8322981366459627,0.7716049382716049,0.8868101415094339,1.0,1.0,1.0,1.0,1.0,1.0,0.03571428571428571,0.0,0.11538461538461539,0.0,0.0,0.0,0.9084745762711864,0.8710801393728224,0.9400099337748344,0.008062400855123998,0.008062400855123998,,1.0,,1.0
