,Element,accuracy_ai,accuracy_human,sensitivity_ai,sensitivity_human,specificity_ai,specificity_human,ppv_ai,ppv_human,npv_ai,npv_human,f1_ai,f1_human
0,Accurate Clip Placement,0.967032967032967,0.8633879781420765,0.9720670391061452,0.8611111111111112,0.6666666666666666,1.0,0.9942857142857143,1.0,0.2857142857142857,0.10714285714285714,0.983050847457627,0.9253731343283582
1,Additional Enhancement (MRI),0.9782608695652174,0.9130434782608695,0.9649122807017544,0.8596491228070176,1.0,1.0,1.0,1.0,0.9459459459459459,0.813953488372093,0.9821428571428572,0.9245283018867925
2,Biopsy Method,0.9949748743718593,0.9296482412060302,1.0,0.9343434343434344,0.0,0.0,0.9949748743718593,0.9946236559139785,,0.0,0.9974811083123425,0.9635416666666667
3,Calcifications / Asymmetry,0.9787234042553191,0.9432624113475178,0.9763779527559056,0.937007874015748,1.0,1.0,1.0,1.0,0.8235294117647058,0.6363636363636364,0.9880478087649402,0.9674796747967479
4,Chronology Preserved,0.9899497487437185,0.9748743718592965,0.9949494949494949,0.9797979797979798,0.0,0.0,0.9949494949494949,0.9948717948717949,0.0,0.0,0.9949494949494949,0.9872773536895675
5,Extent,0.967479674796748,0.9024390243902439,0.9655172413793104,0.8735632183908046,0.9722222222222222,0.9722222222222222,0.9882352941176471,0.987012987012987,0.9210526315789473,0.7608695652173914,0.9767441860465116,0.9268292682926829
6,Histologic Diagnosis,0.975,0.98,0.9798994974874372,0.98,0.0,,0.9948979591836735,1.0,0.0,0.0,0.9873417721518988,0.98989898989899
7,Invasive Component Size (Pathology),0.9451219512195121,0.3780487804878049,0.9513888888888888,0.3013698630136986,0.9,1.0,0.9856115107913669,1.0,0.72,0.15,0.9681978798586571,0.4631578947368421
8,Lesion Laterality,0.995,0.995,0.995,0.995,,,1.0,1.0,0.0,0.0,0.9974937343358395,0.9974937343358395
9,Lesion Location,0.9798994974874372,0.9849246231155779,0.9798994974874372,0.9849246231155779,,,1.0,1.0,0.0,0.0,0.9898477157360407,0.9924050632911393
10,Lesion Size,0.9545454545454546,0.9646464646464646,0.9739583333333334,0.9742268041237113,0.3333333333333333,0.5,0.9790575916230366,0.9895287958115183,0.2857142857142857,0.2857142857142857,0.9765013054830288,0.9818181818181818
11,Lymph Node,0.9550561797752809,0.7415730337078652,0.950920245398773,0.7177914110429447,1.0,1.0,1.0,1.0,0.6521739130434783,0.2459016393442623,0.9748427672955975,0.8357142857142857
12,Receptor Status,0.8609625668449198,0.9625668449197861,0.8688524590163934,0.967391304347826,0.5,0.6666666666666666,0.9875776397515528,0.994413407821229,0.07692307692307693,0.25,0.9244186046511627,0.9807162534435261
13,Workup Recommendation,0.9197530864197531,0.8333333333333334,0.9308176100628931,0.8322981366459627,0.3333333333333333,1.0,0.9866666666666667,1.0,0.08333333333333333,0.03571428571428571,0.9579288025889968,0.9084745762711864
