,Element,Annotator,TP,FP,FN,TN,fabrication_rate
0,Lesion Size,Human,189,2,5,2,0.010471204188481676
1,Lesion Size,AI,187,4,5,2,0.020942408376963352
2,Lesion Laterality,Human,199,0,1,0,0.0
3,Lesion Laterality,AI,199,0,1,0,0.0
4,Lesion Location,Human,196,0,3,0,0.0
5,Lesion Location,AI,195,0,4,0,0.0
6,Calcifications / Asymmetry,Human,119,0,8,14,0.0
7,Calcifications / Asymmetry,AI,124,0,3,14,0.0
8,Additional Enhancement (MRI),Human,49,0,8,35,0.0
9,Additional Enhancement (MRI),AI,55,0,2,35,0.0
10,Extent,Human,76,1,11,35,0.012987012987012988
11,Extent,AI,84,1,3,35,0.011764705882352941
12,Accurate Clip Placement,Human,155,0,25,3,0.0
13,Accurate Clip Placement,AI,174,1,5,2,0.005714285714285714
14,Workup Recommendation,Human,134,0,27,1,0.0
15,Workup Recommendation,AI,148,2,11,1,0.013333333333333334
16,Lymph Node,Human,117,0,46,15,0.0
17,Lymph Node,AI,155,0,8,15,0.0
18,Chronology Preserved,Human,194,1,4,0,0.005128205128205128
19,Chronology Preserved,AI,197,1,1,0,0.005050505050505051
20,Biopsy Method,Human,185,1,13,0,0.005376344086021506
21,Biopsy Method,AI,198,1,0,0,0.005025125628140704
22,Invasive Component Size (Pathology),Human,44,0,102,18,0.0
23,Invasive Component Size (Pathology),AI,137,2,7,18,0.014388489208633094
24,Histologic Diagnosis,Human,196,0,4,0,0.0
25,Histologic Diagnosis,AI,195,1,4,0,0.00510204081632653
26,Receptor Status,Human,178,1,6,2,0.00558659217877095
27,Receptor Status,AI,159,2,24,2,0.012422360248447204
