target,model,feature,importance,rank
human_performance,Random Forest,human_total_correct,72.19881439208984,1
human_performance,Random Forest,Workup Recommendation_human_correct,19.51593780517578,2
human_performance,Random Forest,Chronology Preserved_perf_diff,16.838523864746094,3
human_performance,Random Forest,total_agreements,9.638298988342285,4
human_performance,Random Forest,Chronology Preserved_human_correct,7.607931613922119,5
human_performance,Random Forest,ai_total_correct,4.891409873962402,6
human_performance,Random Forest,Unnamed: 0,4.582162380218506,7
human_performance,Random Forest,Accurate Clip Placement_human_correct,4.392935276031494,8
human_performance,Random Forest,Invasive Component Size (Pathology)_perf_diff,2.6385300159454346,9
human_performance,Random Forest,Accurate Clip Placement_perf_diff,2.1783287525177,10
human_performance,XGBoost,human_total_correct,9.865316390991211,1
human_performance,XGBoost,Lesion Size_human_correct,0.41144728660583496,2
human_performance,XGBoost,Unnamed: 0,0.14387185871601105,3
human_performance,XGBoost,Lymph Node_human_correct,0.00018310395535081625,4
human_performance,XGBoost,Lesion Location_human_correct,0.0001541705714771524,5
human_performance,Gradient Boosting,human_total_correct,9.838281631469727,1
human_performance,Gradient Boosting,Accurate Clip Placement_agreement,0.23491039872169495,2
human_performance,Gradient Boosting,Unnamed: 0,0.1917249858379364,3
human_performance,Gradient Boosting,Lesion Size_agreement,0.17033527791500092,4
human_performance,Gradient Boosting,ai_total_correct,0.07798446714878082,5
human_performance,Gradient Boosting,Workup Recommendation_human_correct,0.060262881219387054,6
human_performance,Gradient Boosting,total_agreements,0.05444476753473282,7
human_performance,Gradient Boosting,Workup Recommendation_agreement,0.04216212034225464,8
human_performance,Gradient Boosting,Receptor Status_agreement,0.0323917418718338,9
human_performance,Gradient Boosting,Invasive Component Size (Pathology)_human_correct,0.014483490958809853,10
ai_performance,Random Forest,ai_total_correct,39.90787124633789,1
ai_performance,Random Forest,human_total_correct,6.646296977996826,2
ai_performance,Random Forest,total_agreements,3.978445053100586,3
ai_performance,Random Forest,Lesion Location_agreement,2.728480339050293,4
ai_performance,Random Forest,Lesion Size_perf_diff,1.8315664529800415,5
ai_performance,Random Forest,Unnamed: 0,1.1298481225967407,6
ai_performance,Random Forest,Lesion Size_ai_correct,0.9332256317138672,7
ai_performance,Random Forest,Lesion Size_agreement,0.6098957657814026,8
ai_performance,Random Forest,Lesion Location_perf_diff,0.5290842056274414,9
ai_performance,Random Forest,Receptor Status_ai_correct,0.512253999710083,10
ai_performance,XGBoost,ai_total_correct,3.020174503326416,1
ai_performance,Gradient Boosting,ai_total_correct,4.200267314910889,1
ai_performance,Gradient Boosting,total_agreements,0.06267968565225601,2
ai_performance,Gradient Boosting,Lesion Size_agreement,0.05471990630030632,3
ai_performance,Gradient Boosting,Unnamed: 0,0.032469574362039566,4
ai_performance,Gradient Boosting,Workup Recommendation_agreement,0.010638048872351646,5
ai_performance,Gradient Boosting,Invasive Component Size (Pathology)_agreement,0.008548865094780922,6
ai_performance,Gradient Boosting,human_total_correct,0.005974078085273504,7
ai_performance,Gradient Boosting,Receptor Status_ai_correct,0.004612743854522705,8
ai_performance,Gradient Boosting,Lymph Node_agreement,0.003621577052399516,9
ai_performance,Gradient Boosting,Workup Recommendation_perf_diff,0.0027336443308740854,10
human_advantage,Random Forest,human_total_correct,27.830442428588867,1
human_advantage,Random Forest,total_agreements,21.02344512939453,2
human_advantage,Random Forest,Chronology Preserved_perf_diff,8.203088760375977,3
human_advantage,Random Forest,Chronology Preserved_human_correct,7.596096038818359,4
human_advantage,Random Forest,Lesion Size_perf_diff,5.1092529296875,5
