Element,total_missing,avg_missing_rate,n_cells,avg_missing_rate_pct
Additional Enhancement (MRI),216,0.36,600,36.0
Extent,152,0.25333333333333335,600,25.333333333333336
Calcifications / Asymmetry,118,0.19666666666666666,600,19.666666666666664
Workup Recommendation,76,0.12666666666666668,600,12.666666666666668
Lymph Node,44,0.07333333333333333,600,7.333333333333333
Accurate Clip Placement,34,0.056666666666666664,600,5.666666666666666
Lesion Size,4,0.006666666666666667,600,0.6666666666666667
Biopsy Method,2,0.0033333333333333335,600,0.33333333333333337
Chronology Preserved,2,0.0033333333333333335,600,0.33333333333333337
Lesion Location,2,0.0033333333333333335,600,0.33333333333333337
Lesion Laterality,0,0.0,600,0.0
