timestamp,step,detail,elapsed_s,wall_clock_s
2026-03-02T18:56:09.696107,STEP 1,Building patient mapping,0.0,0.0
2026-03-02T18:56:17.059138,STEP 1 DONE,1474 cases mapped,7.36,7.36
2026-03-02T18:56:17.059138,STEP 2,Deidentifying 1474 PDFs,7.36,7.36
2026-03-02T18:56:48.615161,PROGRESS,100/1474 PDFs (98 resumed) | 4 pages | 86 redactions | ETA: 361 min,38.92,38.92
2026-03-02T19:09:40.928207,PROGRESS,200/1474 PDFs (156 resumed) | 200 pages | 4281 redactions | ETA: 388 min,811.23,811.23
2026-03-02T19:23:44.296136,PROGRESS,350/1474 PDFs (234 resumed) | 447 pages | 10899 redactions | ETA: 266 min,1654.6,1654.6
2026-03-02T19:33:14.612191,PROGRESS,400/1474 PDFs (234 resumed) | 630 pages | 14479 redactions | ETA: 239 min,2224.92,2224.92
2026-03-02T19:43:35.856398,PROGRESS,450/1474 PDFs (234 resumed) | 812 pages | 18409 redactions | ETA: 224 min,2846.16,2846.16
2026-03-02T19:59:41.391420,PROGRESS,550/1474 PDFs (284 resumed) | 1036 pages | 23885 redactions | ETA: 220 min,3811.7,3811.7
2026-03-02T20:15:05.895188,PROGRESS,600/1474 PDFs (284 resumed) | 1295 pages | 28957 redactions | ETA: 218 min,4736.2,4736.2
2026-03-02T20:25:08.300518,PROGRESS,650/1474 PDFs (284 resumed) | 1463 pages | 32727 redactions | ETA: 200 min,5338.6,5338.61
2026-03-02T20:35:48.967054,PROGRESS,700/1474 PDFs (284 resumed) | 1666 pages | 37799 redactions | ETA: 185 min,5979.27,5979.27
2026-03-02T20:43:08.779716,PROGRESS,750/1474 PDFs (284 resumed) | 1818 pages | 41549 redactions | ETA: 166 min,6419.08,6419.09
2026-03-02T20:51:04.119147,PROGRESS,850/1474 PDFs (326 resumed) | 2024 pages | 46118 redactions | ETA: 137 min,6894.42,6894.42
2026-03-02T21:00:19.176317,PROGRESS,900/1474 PDFs (326 resumed) | 2224 pages | 50669 redactions | ETA: 124 min,7449.48,7449.52
2026-03-02T21:09:35.789793,PROGRESS,950/1474 PDFs (326 resumed) | 2447 pages | 55957 redactions | ETA: 112 min,8006.09,8006.09
2026-03-02T21:18:37.812823,PROGRESS,1000/1474 PDFs (326 resumed) | 2655 pages | 60650 redactions | ETA: 100 min,8548.12,8548.12
2026-03-02T21:25:53.351516,PROGRESS,1050/1474 PDFs (326 resumed) | 2822 pages | 64392 redactions | ETA: 88 min,8983.66,8983.66
2026-03-02T21:34:56.859201,PROGRESS,1100/1474 PDFs (326 resumed) | 3046 pages | 69598 redactions | ETA: 77 min,9527.16,9527.16
2026-03-02T21:43:20.443308,PROGRESS,1150/1474 PDFs (326 resumed) | 3250 pages | 73826 redactions | ETA: 66 min,10030.75,10030.75
2026-03-03T00:15:31.716044,PROGRESS,1200/1474 PDFs (326 resumed) | 3486 pages | 78814 redactions | ETA: 100 min,19162.02,19162.02
2026-03-03T00:26:15.132539,PROGRESS,1250/1474 PDFs (326 resumed) | 3676 pages | 83184 redactions | ETA: 80 min,19805.44,19805.44
2026-03-03T00:42:20.734877,PROGRESS,1300/1474 PDFs (326 resumed) | 3927 pages | 89127 redactions | ETA: 62 min,20771.04,20771.04
2026-03-03T00:53:21.616076,PROGRESS,1350/1474 PDFs (326 resumed) | 4093 pages | 92453 redactions | ETA: 43 min,21431.92,21431.92
2026-03-03T01:03:32.596661,PROGRESS,1400/1474 PDFs (326 resumed) | 4268 pages | 96005 redactions | ETA: 25 min,22042.9,22042.9
2026-03-03T01:15:27.468344,PROGRESS,1450/1474 PDFs (326 resumed) | 4474 pages | 100708 redactions | ETA: 8 min,22757.77,22757.77
2026-03-03T01:20:26.331744,STEP 2 DONE,"1474 PDFs, 4570 pages, 102763 redactions",23049.27,23056.64
2026-03-03T01:20:26.331744,STEP 3,Deidentifying validation Excel,23056.64,23056.64
2026-03-03T01:20:31.162640,STEP 3 DONE,"Excel deidentified ((200, 49)), saved to 2 locations",4.83,23061.47
2026-03-03T01:20:31.162640,ALL DONE,Total wall clock: 6.41 hours,23061.47,23061.47
